,product_code,expiry_date,product_short_desc_storage,product_packaging,product_prescription_reco,supplier,supplier_country,batch_number,product_description_storage_raw
140,ELAECENEH3-,,CENTRIFUGEUSE à hématocrite électr.,,,Centurion Scientific Ltd,U.K,,"CENTRIFUGEUSE à hématocrite électr.(Centurion Scientific Ltd, U.K)"
141,DORACIPR5T-,2028-04-30,CIPROFLOXACINE chlorhydrate,éq. 500 mg base,comp.,Medopharma,India,,"CIPROFLOXACINE chlorhydrate, éq. 500 mg base, comp.(Medopharma,India)"
142,DORACLOX5C-,2027-04-30,CLOXACILLINE sodique,éq. 500 mg base,gél.,Medopharma,India,,"CLOXACILLINE sodique, éq. 500 mg base, gél.(Medopharma,India)"
143,DORACOTR8T-,2028-08-31,COTRIMOXAZOLE,800 mg / 160 mg,comp.,Medopharma,India,,"COTRIMOXAZOLE, 800 mg / 160 mg, comp.(Medopharma,India)"
145,DORADOXY1T-,2026-10-30,DOXYCYCLINE sel,éq. 100 mg base,comp.,Medopharma,India,,"DOXYCYCLINE sel, éq. 100 mg base, comp.(Medopharma,India)"
146,SLASETHA9B1,2028-04-30,ETHANOL,dénaturé,95%,Denteck,Netherlands,,"ETHANOL, dénaturé, 95%, 1 l, fl.(Denteck , Netherlands)"
147,,2026-05-31,WASH REAGENT COBAS 5L,,,Roche Molecular Système Inc,USA,,"WASH REAGENT COBAS 5L(Roche Molecular Système Inc,USA)"
148,DORAPYRM2T-,2027-01-31,PYRIMETHAMINE,25 mg,comp.,Mylan Lab Limited,India,,"PYRIMETHAMINE, 25 mg, comp.(Mylan Lab Limited,India)"
149,DORAPYRM2T-,2026-08-31,PYRIMETHAMINE,25 mg,comp.,Mylan Lab Limited,India,,"PYRIMETHAMINE, 25 mg, comp.(Mylan Lab Limited,India)"
151,DORAPYRM2T-,2026-08-31,PYRIMETHAMINE,25 mg,comp.,GloxoSmithKline UK,,,"PYRIMETHAMINE, 25 mg, comp.(GloxoSmithKline UK)"
152,DINJCEFT1V-,2027-07-31,CEFTRIAXONE sodique,éq. 1 g base,poudre,Reyoung Pharma Co.,Ltd.,,"CEFTRIAXONE sodique, éq. 1 g base, poudre, fl.(Reyoung Pharma Co., Ltd., China)"
153,DORANEVI5TD,2026-10-30,NEVIRAPINE [NVP],50 mg,comp. disp.,CIPLA Ltd,INDIA,,"NEVIRAPINE [NVP], 50 mg, comp. disp.(CIPLA Ltd, INDIA)"
154,DORANEVI1S1,2027-08-31,NEVIRAPINE [NVP],50mg/5ml,susp. orale,CIPLA LTD,INDIA,,"NEVIRAPINE [NVP], 50mg/5ml, susp. orale, 100 ml, fl.(CIPLA LTD,INDIA)"
155,DORAAMOC2S6,2027-01-31,AMOXICILLINE 250 mg / ac. CLAVULANIQUE 62.5mg/5ml pwd f 100.fl,,,Micro Labs Ltd. VeerasandraIndia,,,AMOXICILLINE 250 mg / ac. CLAVULANIQUE 62.5mg/5ml pwd f 100.fl(Micro Labs Ltd. VeerasandraIndia)
156,DORACOTR1TD,2026-11-30,COTRIMOXAZOLE,100 mg / 20 mg,comp. disp.,Micro Labs Hosur,India,,"COTRIMOXAZOLE, 100 mg / 20 mg, comp. disp.(Micro Labs Hosur,India)"
157,DORACOTR1TD,2027-04-30,COTRIMOXAZOLE,100 mg / 20 mg,comp. disp.,Micro Labs Hosur,India,,"COTRIMOXAZOLE, 100 mg / 20 mg, comp. disp.(Micro Labs Hosur,India)"
158,DORAORSA2S-,2029-02-28,SELS REHYDRATATION ORALE [SRO]basse osmol. sachet 20,5 g/1l,,N.V Pharma,India,,"SELS REHYDRATATION ORALE [SRO]basse osmol. sachet 20,5 g/1l(N.V Pharma,India)"
159,DORAORSA2S-,2029-03-31,SELS REHYDRATATION ORALE [SRO]basse osmol. sachet 20,5 g/1l,,N.V Pharma,India,,"SELS REHYDRATATION ORALE [SRO]basse osmol. sachet 20,5 g/1l(N.V Pharma,India)"
160,DORALOPE2T-,2028-04-30,LOPERAMIDE chlorhydrate,2mg,comp.,Medopharm Malur,India,,"LOPERAMIDE chlorhydrate, 2mg, comp.(Medopharm Malur, India)"
161,DORAERYT5T-,2028-03-31,ERYTHROMYCINE stéarate,eq. 500 mg base,comp.,Medopharma Malur,India,,"ERYTHROMYCINE stéarate, eq. 500 mg base, comp.(Medopharma Malur,India)"
162,DINJCEFT1V-,2028-01-31,CEFTRIAXONE sodique,éq. 1 g base,poudre,Reyoung Pharma Co.,Ltd.,,"CEFTRIAXONE sodique, éq. 1 g base, poudre, fl.(Reyoung Pharma Co., Ltd., China)"
163,DORAMETN2S-,2027-09-01,METRONIDAZOLE benzoate,eq 200mg/5ml base,susp. orale,Purna Pharmaceuticals NV,Belgium,,"METRONIDAZOLE benzoate, eq 200mg/5ml base, susp. orale, 100ml(Purna Pharmaceuticals NV, Belgium)"
164,DORAMETN5T-,2027-09-30,METRONIDAZOLE,500 mg,comp.,Medopharma Malur,India,,"METRONIDAZOLE, 500 mg, comp.(Medopharma Malur,India)"
165,DORACLOX5C-,2028-03-31,CLOXACILLINE sodique,éq. 500 mg base,gél.,Medopharma,India,,"CLOXACILLINE sodique, éq. 500 mg base, gél.(Medopharma,India)"
166,DORALPVR4T-,2027-08-31,LPV 100mg / r 25mg,comp.,,Mylan Lab Limited,India,,"LPV 100mg / r 25mg, comp.(Mylan Lab Limited,India)"
167,DINJCEFT1V-,2028-10-30,CEFTRIAXONE sodique,éq. 1 g base,poudre,NCPC Hebei Huamin Pharma Co,China,,"CEFTRIAXONE sodique, éq. 1 g base, poudre, fl.(NCPC Hebei Huamin Pharma Co,China)"
168,DORAEFAV2TB,2028-11-30,EFAVIRENZ [EFV],200 mg,comp. séc.,Strides Shasun  Limited,India,,"EFAVIRENZ [EFV], 200 mg, comp. séc.(Strides Shasun  Limited,India)"
169,DORAAMOC2S6,2028-01-31,AMOXICILLINE 250 mg / ac. CLAVULANIQUE 62.5mg/5ml pwd f 100.fl,,,Medochemie Ltd,Cyprus,,"AMOXICILLINE 250 mg / ac. CLAVULANIQUE 62.5mg/5ml pwd f 100.fl(Medochemie Ltd, Cyprus)"
170,DORACOTR4T-,2028-07-31,COTRIMOXAZOLE,400 mg / 80 mg,comp.,Medopharma,India,7H164,"COTRIMOXAZOLE, 400 mg / 80 mg, comp.(Medopharma,India):7H164"
171,DORANEVI1S1,2027-08-31,NEVIRAPINE [NVP],50mg/5ml,susp. orale,CIPLA LTD,INDIA,IA80534,"NEVIRAPINE [NVP], 50mg/5ml, susp. orale, 100 ml, fl.(CIPLA LTD,INDIA):IA80534"
172,DINFDEXT5FBF5,2027-03-01,GLUCOSE,5%,500 ml,Shijiazhuang No 4 Pharmqceutical Co.Ltd,China,,"GLUCOSE, 5%, 500 ml, poche souple, sans PVC(Shijiazhuang No 4 Pharmqceutical Co.Ltd,China)"
176,DORASULP5T-,2029-07-31,SULFADOXINE,500 mg / PYRIMETHAMINE,25 mg,Remedica Ltd,Chypre,,"SULFADOXINE, 500 mg / PYRIMETHAMINE, 25 mg, comp.(Remedica Ltd,Chypre)"
180,SINSIVPP20-,2029-02-28,CATHETER IV,site d'injection,u.u. 20 G [1,La-med Health Pvt. Ltd,India,,"CATHETER IV, site d'injection, u.u. 20 G [1,0 x 32 mm], rose(La-med Health Pvt. Ltd,India)"
181,SINSIVPP22-,2029-02-28,CATHETER IV,site d'injection,u.u. 22 G [ 0,La-med Health Pvt. Ltd,India,,"CATHETER IV, site d'injection, u.u. 22 G [ 0,8 x 25 mm] bleu(La-med Health Pvt. Ltd,India)"
182,SLASETHA9B1,,ETHANOL,dénaturé,95%,Pharmaceutique francaise,,,"ETHANOL, dénaturé, 95%, 1 l, fl.(Pharmaceutique francaise)"
183,SLASETHA7B1,,ETHANOL,dénaturé,70%,Pharmaceutique francaise,,,"ETHANOL, dénaturé, 70%, [bidon de 5l](Pharmaceutique francaise)"
184,ELABCOVG22-,2027-10-31,LAMELLE COUVRE-OBJET,22 x 22 mm,,Hebei Medecine- Health Products,China,,"LAMELLE COUVRE-OBJET, 22 x 22 mm(Hebei Medecine- Health Products,China)"
185,SINSSETI2--,2029-02-28,PERFUSEUR 'Y',Luer lock,prise d'air,La-Med Healthcare Pvt. Ltd,India,,"PERFUSEUR 'Y', Luer lock, prise d'air, stérile, u.u.(La-Med Healthcare Pvt. Ltd,India)"
186,SINSIVPP18-,2029-02-28,CATHETER IV,site d'injection,u.u. 18 G [1,La-Med Healthcare Pvt. Ltd,India,,"CATHETER IV, site d'injection, u.u. 18 G [1,2 x 45 mm], vert(La-Med Healthcare Pvt. Ltd,India)"
187,SINSIVPP20-,2029-02-28,CATHETER IV,site d'injection,u.u. 20 G [1,La-Med Healthcare Pvt. Ltd,India,,"CATHETER IV, site d'injection, u.u. 20 G [1,0 x 32 mm], rose(La-Med Healthcare Pvt. Ltd,India)"
188,SINSIVPP22-,2029-02-28,CATHETER IV,site d'injection,u.u. 22 G [0,La-Med Healthcare Pvt. Ltd,India,,"CATHETER IV, site d'injection, u.u. 22 G [0,8 x 25 mm] bleu(La-Med Healthcare Pvt. Ltd,India)"
189,SINSSYDL10-,2027-10-31,SERINGUE,u.u.,Luer,Suzhou Hengxiang Co Ltd,China,,"SERINGUE, u.u., Luer, 10 ml(Suzhou Hengxiang Co Ltd,China)"
190,ELABSLID1FT,2027-10-31,LAME PORTE-OBJETS,dépolie,76 x 26 mm,Ral Diagnostic,,,"LAME PORTE-OBJETS, dépolie, 76 x 26 mm,emballage tropicalisé(Ral Diagnostic)"
191,SLASOILI2B5,2029-02-28,HUILE IMMERSION,250 ml,fl. compte-gouttes,Gainland Chemical CO UK.,,,"HUILE IMMERSION, 250 ml, fl. compte-gouttes(Gainland Chemical CO UK.)"
192,DORAARLU3T1,2026-05-31,AL 20/120 mg,blister de 18 comp.,25-34 kg,Ajanta pharma Ltd,India,,"AL 20/120 mg, blister de 18 comp., 25-34 kg(Ajanta pharma Ltd,India)"
193,SSDTMALP25T2,2028-01-31,TEST MALARIA HRP-2/pan pLDH,st,1test [CareStart RMRM-02571],Access Bio,Inc.USA,,"TEST MALARIA HRP-2/pan pLDH, st,1test [CareStart RMRM-02571](Access Bio,Inc.USA)"
194,DORASULP5T-,2030-03-31,SULFADOXINE,500 mg / PYRIMETHAMINE,25 mg,Remedica Ltd,Chypre,,"SULFADOXINE, 500 mg / PYRIMETHAMINE, 25 mg, comp.(Remedica Ltd,Chypre)"
196,DORAARLU1TD1,2028-01-31,AL 20/120 mg,blister de 6 comp. disp.,5-14 kg,Ajanta pharma Limited,India,PA0459B,"AL 20/120 mg, blister de 6 comp. disp., 5-14 kg(Ajanta pharma Limited,India):PA0459B"
197,DORAARLU1TD1,2027-09-30,AL 20/120 mg,blister de 6 comp. disp.,5-14 kg,CIPLA LTD,India,ID83327,"AL 20/120 mg, blister de 6 comp. disp., 5-14 kg(CIPLA LTD, India):ID83327"
198,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H62,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H62"
199,SINSIVPP22-,2029-02-28,CATHETER IV,site d'injection,u.u. 22 G [ 0,La-med Health Pvt. Ltd,India,1703010,"CATHETER IV, site d'injection, u.u. 22 G [ 0,8 x 25 mm] bleu(La-med Health Pvt. Ltd,India):1703010"
200,DORASULP5T-,2029-07-31,SULFADOXINE,500 mg / PYRIMETHAMINE,25 mg,Remedica Ltd,Chypre,73199,"SULFADOXINE, 500 mg / PYRIMETHAMINE, 25 mg, comp.(Remedica Ltd,Chypre):73199"
201,DORASULP5T-,2029-07-31,SULFADOXINE,500 mg / PYRIMETHAMINE,25 mg,Remedica Ltd,Chypre,73203,"SULFADOXINE, 500 mg / PYRIMETHAMINE, 25 mg, comp.(Remedica Ltd,Chypre):73203"
202,DORAARLU2TD1,2027-09-30,AL 20/120 mg,blister de 12 comp. disp.,15-24 kg,CIPLA LTD,India,ID83325,"AL 20/120 mg, blister de 12 comp. disp., 15-24 kg(CIPLA LTD,India):ID83325"
203,DORAARLU2TD1,2027-09-30,AL 20/120 mg,blister de 12 comp. disp.,15-24 kg,CIPLA LTD,India,ID83324,"AL 20/120 mg, blister de 12 comp. disp., 15-24 kg(CIPLA LTD,India):ID83324"
204,DORAARLU3T1,2028-09-30,AL 20/120 mg,blister de 18 comp.,25-34 kg,OXALIS LABS,India,NAA8647A,"AL 20/120 mg, blister de 18 comp., 25-34 kg(OXALIS LABS,India):NAA8647A"
205,DORAARLU3T1,2028-09-30,AL 20/120 mg,blister de 18 comp.,25-34 kg,OXALIS LABS,India,NAA8650A,"AL 20/120 mg, blister de 18 comp., 25-34 kg(OXALIS LABS,India):NAA8650A"
206,DORAARLU3T1,2028-09-30,AL 20/120 mg,blister de 18 comp.,25-34 kg,OXALIS LABS,India,NAA8659A,"AL 20/120 mg, blister de 18 comp., 25-34 kg(OXALIS LABS,India):NAA8659A"
207,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8643B,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8643B"
208,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8642A,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8642A"
209,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8644A,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8644A"
210,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8648A,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8648A"
211,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8649A,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8649A"
212,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8651A,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8651A"
213,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8652A,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8652A"
214,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8653A,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8653A"
215,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8654A,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8654A"
216,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8655A,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8655A"
217,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8656A,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8656A"
218,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8657A,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8657A"
219,DORAARLU4T1,2028-09-30,AL 20/120 mg,blister de 24 comp.,>35 kg,OXALIS LABS,India,NAA8658A,"AL 20/120 mg, blister de 24 comp., >35 kg (OXALIS LABS,India):NAA8658A"
220,DINJARTS6V-,2028-06-25,ARTESUNATE 60 mg,poudre,fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml,Guilin Pharmaceutical Co. Ltd,China,LA181126,"ARTESUNATE 60 mg, poudre, fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml(Guilin Pharmaceutical Co. Ltd,China):LA181126"
221,DINJARTS6V-,2028-06-25,ARTESUNATE 60 mg,poudre,fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml,Guilin Pharmaceutical Co. Ltd,China,LA181125,"ARTESUNATE 60 mg, poudre, fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml(Guilin Pharmaceutical Co. Ltd,China):LA181125"
222,DINJARTS6V-,2028-06-27,ARTESUNATE 60 mg,poudre,fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml,Guilin Pharmaceutical Co. Ltd,China,LA181131,"ARTESUNATE 60 mg, poudre, fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml(Guilin Pharmaceutical Co. Ltd,China):LA181131"
223,DINJARTS6V-,2028-06-26,ARTESUNATE 60 mg,poudre,fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml,Guilin Pharmaceutical Co. Ltd,China,LA181127,"ARTESUNATE 60 mg, poudre, fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml(Guilin Pharmaceutical Co. Ltd,China):LA181127"
224,DINJARTS6V-,2028-06-25,ARTESUNATE 60 mg,poudre,fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml,Guilin Pharmaceutical Co. Ltd,China,LA181107,"ARTESUNATE 60 mg, poudre, fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml(Guilin Pharmaceutical Co. Ltd,China):LA181107"
225,DINJARTS6V-,2028-06-26,ARTESUNATE 60 mg,poudre,fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml,Guilin Pharmaceutical Co. Ltd,China,LA181128,"ARTESUNATE 60 mg, poudre, fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml(Guilin Pharmaceutical Co. Ltd,China):LA181128"
226,DINJARTS6V-,2028-06-26,ARTESUNATE 60 mg,poudre,fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml,Guilin Pharmaceutical Co. Ltd,China,LA181129,"ARTESUNATE 60 mg, poudre, fl +NaHCO3 5% 1ml +NaCl 0.9% 5ml(Guilin Pharmaceutical Co. Ltd,China):LA181129"
227,DORAARLU1TD1,2028-01-31,AL 20/120 mg,blister de 6 comp. disp.,5-14 kg,Ajanta pharma Limited,India,PA0479B,"AL 20/120 mg, blister de 6 comp. disp., 5-14 kg(Ajanta pharma Limited,India):PA0479B"
228,DORAARLU2TD1,2028-01-31,AL 20/120 mg,blister de 12 comp. disp.,15-24 kg,Ajanta pharma Limited,India,PA0459B,"AL 20/120 mg, blister de 12 comp. disp., 15-24 kg(Ajanta pharma Limited,India):PA0459B"
229,,,Moustiquaire Imprégné à Longue Durée d'Action,,,MILDA,,,Moustiquaire Imprégné à Longue Durée d'Action(MILDA)
252,SINSCONT2P-,,CONTAINER,regulated medical waste [UN3291],,Fisher Scientific,Canada,,"CONTAINER,regulated medical waste [UN3291](Fisher Scientific,Canada)"
257,ELABSLID1--,2027-10-31,LAME PORTE-OBJETS,76 x 26 mm,épaisseur 1-1,Ral Diagnostic,,,"LAME PORTE-OBJETS, 76 x 26 mm, épaisseur 1-1,2 mm(Ral Diagnostic)"
258,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H68,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H68"
259,SSDTMALP25T2,2028-04-30,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18L68,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18L68"
260,SSDTMALP25T2,2028-04-30,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18L67,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18L67"
261,SSDTMALP25T2,2028-04-30,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18L69,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18L69"
262,SSDTMALP25T2,2028-04-30,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18L66,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18L66"
263,SSDTMALP25T2,2028-04-30,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18L70,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18L70"
264,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H69,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H69"
265,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H61,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H61"
266,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H66,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H66"
267,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H67,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H67"
268,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H64,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H64"
269,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H65,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H65"
270,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H63,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H63"
271,DINFDEXT5FBF5,2028-09-15,GLUCOSE,5%,500 ml,Shijiazhuang No 4 Pharmqceutical Co.Ltd,China,1809161901,"GLUCOSE, 5%, 500 ml, poche souple, sans PVC(Shijiazhuang No 4 Pharmqceutical Co.Ltd,China):1809161901"
272,DINFDEXT5FBF5,2028-09-15,GLUCOSE,5%,500 ml,Shijiazhuang No 4 Pharmqceutical Co.Ltd,China,1809161902,"GLUCOSE, 5%, 500 ml, poche souple, sans PVC(Shijiazhuang No 4 Pharmqceutical Co.Ltd,China):1809161902"
